UnitedStates	8651.43	319.13	17393.10	54501.59	0.010768356	0.22348	0.004095613
Canada	959.14	35.50	1599.07	45048.59	0.010768356	0.2107	-0.003405255
Mexico	9244.79	119.71	2153.32	17987.34	0.010768356	0.243322632	-0.015965394
UnitedKingdom	1088.81	64.60	2614.52	40474.24	0.010768356	0.198864211	0.006408966
Ireland	69.06	4.61	238.99	51846.96	0.010768356	0.212242105	0.031876943
Germany	1862.48	81.20	3763.23	46346.59	0.010768356	0.252735263	-0.004079049
Belgium	256.46	11.20	482.95	43105.22	0.010768356	0.224376316	-0.001982779
Netherlands	389.05	16.87	815.62	48361.59	0.010768356	0.228801053	0.001158656
Switzerland	419.51	8.14	474.13	58246.44	0.010768356	0.282264211	-0.016313362
Luxembourg	17.74	0.55	52.86	96163.11	0.010768356	0.216527368	0.027440562
Austria	192.51	8.54	397.32	46503.56	0.010768356	0.268556842	-0.004939435
Denmark	1283.44	5.63	253.53	45053.89	0.010768356	0.202943158	0.003602042
Sweden	2387.78	9.75	450.87	46255.62	0.010768356	0.225963158	-0.000739474
Finland	114.85	5.45	222.08	40738.61	0.010768356	0.254413158	-0.000602813
Norway	1736.13	5.16	347.69	67428.54	0.010768356	0.263779474	0.00479355
Iceland	626.74	0.33	14.45	43912.87	0.010768356	0.225148947	-0.005077594
France	1367.53	63.98	2604.31	40703.67	0.010768356	0.219512105	-0.001869664
Italy	1261.36	60.78	2135.95	35140.73	0.010768356	0.218505789	-0.001388946
Spain	613.19	46.46	1551.29	33393.22	0.010768356	0.226046842	0.006225272
Portugal	115.28	10.40	283.12	27220.32	0.010768356	0.290756842	0.009452536
Greece	149.03	10.93	284.17	26006.23	0.010768356	0.243746316	-0.014959307
Cyprus	7.45	0.86	27.39	31921.56	0.010768356	0.359743684	0.014574271
Israel	415.76	8.21	275.32	33526.15	0.010768356	0.218092632	0.005043356
Poland	701.16	38.02	961.31	25285.73	0.010768356	0.222974667	-0.016132967
Hungary	16551.93	9.88	248.90	25199.78	0.010768356	0.263041579	-0.017309937
CzechRepublic	2727.03	10.51	319.92	30432.45	0.010768356	0.32994	-0.046687659
SlovakRepublic	36.58	5.42	154.07	28446.76	0.010768356	0.305991667	0.001938425
Latvia	10.30	2.00	47.15	23558.98	0.010768356	0.188745714	-0.008086172
